Date,AU,GB,CH,JP,EU,US,EM
2001-01-01,0.0602583,0.004,0.036896577303009645,0.0313376555184126,0.033664906500920286,0.0250025,0.08
2001-02-01,0.0602583,0.004,0.025721963778054906,0.021517842304387188,0.03205071997861454,0.0250025,0.08
2001-03-01,0.0602583,0.004,0.025724856672090228,0.02152404206365684,0.032049515572341286,0.0250025,0.08
2001-04-01,0.0612536,0.024,0.025727643479828064,0.02153003635730078,0.0320483558084082,0.0222805,0.08
2001-05-01,0.0612536,0.024,0.021621815844413576,0.010003322348067764,0.023568703967426587,0.0222805,0.08
2001-06-01,0.0612536,0.024,0.02161915778817444,0.010000727316833664,0.02355779084823355,0.0222805,0.08
2001-07-01,0.0246913,0.029,0.021616585478591487,0.009998202766558866,0.023547328078918146,0.02423375,0.08
2001-08-01,0.0246913,0.029,0.0240069677770037,-0.0006919992604946699,0.01906883011975839,0.02423375,0.08
2001-09-01,0.0246913,0.029,0.02400747023243925,-0.0007071422092726227,0.0190465892702562,0.02423375,0.08
2001-10-01,0.0314638,0.087,0.024007956808635985,-0.0007216367422698984,0.01902574135130536,0.01037675,0.08
2001-11-01,0.0314638,0.087,0.015766160798896433,-0.013401689189453024,0.013719057947065802,0.01037675,0.08
2001-12-01,0.0314638,0.087,0.015754956380772178,-0.01344480895394889,0.013681563206244977,0.01037675,0.08
2002-01-01,0.0297699,0.065,0.01574414522673863,-0.013484452492943779,0.013647705265945605,0.02801475,0.09
2002-02-01,0.0297699,0.065,0.004683162690762712,-0.019068545468517027,0.0045522773470087615,0.02801475,0.09
2002-03-01,0.0297699,0.065,0.004633258276039559,-0.01911343615794031,0.004511643173597995,0.02801475,0.09
2002-04-01,0.028188,0.066,0.004586845141248507,-0.019154152445870824,0.004477742771920685,0.03161425,0.09
2002-05-01,0.028188,0.066,0.002401629689013039,-0.0040265034912037815,0.008866535083890773,0.03161425,0.09
2002-06-01,0.028188,0.066,0.002351312125694821,-0.004039000240099232,0.008839183360060805,0.03161425,0.09
2002-07-01,0.0321285,0.213,0.0023046588748680463,-0.004051020288013513,0.008814528010231857,0.02881075,0.09
2002-08-01,0.0321285,0.213,0.007462786505173014,0.00954156482866994,0.011275829225845609,0.02881075,0.09
2002-09-01,0.0321285,0.213,0.00743997357964673,0.00954146379459275,0.011258233219028902,0.02881075,0.09
2002-10-01,0.0291778,-0.061,0.007418219641613364,0.009541364960997493,0.011241878310658194,0.02556025,0.09
2002-11-01,0.0291778,-0.061,0.008509039141694855,0.015510351351956811,0.01362279641351197,0.02556025,0.09
2002-12-01,0.0291778,-0.061,0.00849196545462829,0.015513920138151656,0.01361147595118309,0.02556025,0.09
2003-01-01,0.0328515,-0.078,0.008475578691280352,0.01551740675626439,0.01360074270243104,0.0297485,0.1
2003-02-01,0.0328515,-0.078,0.0011290201743898822,0.014489643441481223,0.008639949949054681,0.0297485,0.1
2003-03-01,0.0328515,-0.078,0.0010913283054420919,0.014492285203444588,0.008624205421083163,0.0297485,0.1
2003-04-01,0.0261095,-0.096,0.0010559934050416054,0.014494869949206145,0.008609612717502692,0.031339,0.1
2003-05-01,0.0261095,-0.096,-0.004154833585623385,0.013261306643759088,0.004345821782238532,0.031339,0.1
2003-06-01,0.0261095,-0.096,-0.004204920522359417,0.013263039561648916,0.0043310446239533534,0.031339,0.1
2003-07-01,0.0259405,-0.216,-0.004251069626605472,0.013264737266128963,0.004317600179204798,0.03774525,0.1
2003-08-01,0.0259405,-0.216,-0.013523440010894167,0.01312619238737538,0.006318653730307048,0.03774525,0.1
2003-09-01,0.0259405,-0.216,-0.013592855217412901,0.013127743762189385,0.006307544849544043,0.03774525,0.1
2003-10-01,0.0244845,-0.016,-0.013654424778013473,0.013129264624322285,0.006297200330712946,0.0387465,0.1
2003-11-01,0.0244845,-0.016,-0.003803877158450115,0.020938766623890773,0.010875598077773503,0.0387465,0.1
2003-12-01,0.0244845,-0.016,-0.003832567819352959,0.020946273224584713,0.010868840987160625,0.0387465,0.1
2004-01-01,0.0203563,0.011,-0.0038595974781587576,0.020953583770938363,0.01086237734133897,0.04186475,0.1
2004-02-01,0.0203563,0.011,0.013714810912619823,0.027889972251739666,0.01878671688238581,0.04186475,0.1
2004-03-01,0.0203563,0.011,0.013713118170136332,0.027906692192458046,0.018784684472188885,0.04186475,0.1
2004-04-01,0.0254454,0.01,0.013711461658886722,0.027922779067286144,0.018782697934785472,0.041098,0.1
2004-05-01,0.0254454,0.01,0.02547576627578327,0.020929822716673274,0.024537671460497013,0.041098,0.1
2004-06-01,0.0254454,0.01,0.0254842405002071,0.02093604282727065,0.02453741341453613,0.041098,0.1
2004-07-01,0.022756,0.012,0.025492468323973803,0.0209421150226237,0.024537160660348126,0.03739375,0.1
2004-08-01,0.022756,0.012,0.033090919572392144,0.024039773007089402,0.02031165242423592,0.03739375,0.1
2004-09-01,0.022756,0.012,0.03311288535999384,0.024048798447134846,0.020310242816450635,0.03739375,0.1
2004-10-01,0.0251571,0.018,0.03313386027252013,0.024057576559033456,0.020308861336318255,0.0348245,0.1
2004-11-01,0.0251571,0.018,0.024780076884391024,0.011774657710428156,0.01836049683668034,0.0348245,0.1
2004-12-01,0.0251571,0.018,0.024786161538808672,0.011774557147739867,0.018358471613209474,0.0348245,0.1
2005-01-01,0.0236908,0.013,0.02479209339930391,0.011774458275984334,0.018356489378647554,0.0352155,0.11
2005-02-01,0.0236908,0.013,0.01823719208429543,0.009255047508717586,0.015934335564546317,0.0352155,0.11
2005-03-01,0.0236908,0.013,0.018237716840986906,0.009253712726395632,0.015931313261713122,0.0352155,0.11
2005-04-01,0.0248139,0.015,0.018238231687783314,0.00925240056549542,0.015928364668516614,0.0329185,0.11
2005-05-01,0.0248139,0.015,0.018051610008030343,0.016920120531390036,0.01574714470851907,0.0329185,0.11
2005-06-01,0.0248139,0.015,0.018051991726326218,0.016922730169456734,0.015744244143969528,0.0329185,0.11
2005-07-01,0.0309023,0.013,0.018052366451275614,0.01692529380985105,0.015741412804175337,0.03603425,0.11
2005-08-01,0.0309023,0.013,0.026889233336666037,0.020754673281308155,0.020889207790716933,0.03603425,0.11
2005-09-01,0.0309023,0.013,0.02689743545390512,0.02075991986137561,0.020888352719338317,0.03603425,0.11
2005-10-01,0.0282209,0.012,0.026905421625099964,0.020765058222437575,0.02088751253198733,0.033498,0.11
2005-11-01,0.0282209,0.012,0.032102189701424984,0.024359783450822424,0.023364299972566945,0.033498,0.11
2005-12-01,0.0282209,0.012,0.03211839970480003,0.02436834745482663,0.023364113897903094,0.033498,0.11
2006-01-01,0.0292326,0.014,0.03213402863066498,0.024376698582703513,0.023363931011719297,0.03498275,0.13
2006-02-01,0.0292326,0.014,0.03824144322853525,0.020873032051320742,0.030051486254591357,0.03498275,0.13
2006-03-01,0.0292326,0.014,0.03827053251310501,0.0208776613203818,0.030053793261847785,0.03498275,0.13
2006-04-01,0.0399516,0.015,0.038298153684901956,0.020882200811718876,0.030056039414765794,0.03096775,0.13
2006-05-01,0.0399516,0.015,0.046836380403781346,0.014975590701207223,0.03497868054313545,0.03096775,0.13
2006-06-01,0.0399516,0.015,0.04688669260169256,0.01497653581191812,0.03498416194405928,0.03096775,0.13
2006-07-01,0.0395682,0.017,0.04693321714549463,0.014977466843798958,0.034989423427606685,0.02799625,0.13
2006-08-01,0.0395682,0.017,0.03679744004735743,0.0034495531825467778,0.032912258632166305,0.02799625,0.13
2006-09-01,0.0395682,0.017,0.03681516268738267,0.003443784214232522,0.03291575985698687,0.02799625,0.13
2006-10-01,0.0334129,0.02,0.03683220839819774,0.003438131765987876,0.03291915168571862,0.027501,0.13
2006-11-01,0.0334129,0.02,0.03719066923633259,0.014502161378527912,0.03775665722421731,0.027501,0.13
2006-12-01,0.0334129,0.02,0.03720707611495012,0.014503000173244376,0.0377633739646548,0.027501,0.13
2007-01-01,0.024852,0.02,0.03722287750956701,0.014503827053880557,0.037769780752552,0.0286935,0.14
2007-02-01,0.024852,0.02,0.04064997385779349,0.01930387823973708,0.03523496826509575,0.0286935,0.14
2007-03-01,0.024852,0.02,0.040670884744714225,0.019307365346714126,0.03523919364865479,0.0286935,0.14
2007-04-01,0.0209546,0.023,0.04069089592570626,0.019310794712365964,0.03524327313160432,0.02694275,0.14
2007-05-01,0.0209546,0.023,0.035314779899631034,0.018249121391235808,0.03096476289982843,0.02694275,0.14
2007-06-01,0.0209546,0.023,0.03532508150338948,0.018251760072785228,0.030966443381719475,0.02694275,0.14
2007-07-01,0.0184544,0.022,0.03533508395568431,0.018254358303299377,0.03096808653393624,0.026908,0.14
2007-08-01,0.0184544,0.022,0.04258818594655137,0.014903165918430663,0.029432619208624663,0.026908,0.14
2007-09-01,0.0184544,0.022,0.042609110449466574,0.014903993684654664,0.029433627675362495,0.026908,0.14
2007-10-01,0.0288685,0.02,0.042629129277320765,0.014904810359049198,0.029434617129505555,0.02178675,0.14
2007-11-01,0.0288685,0.02,0.04253628537908088,0.006285997228764145,0.022935330035867226,0.02178675,0.14
2007-12-01,0.0288685,0.02,0.04255447286952202,0.006282496693109897,0.02293470415619576,0.02178675,0.14
2008-01-01,0.0427252,0.019,0.042571925904540626,0.006279051832560026,0.022934087069864835,0.01894275,0.1
2008-02-01,0.0427252,0.019,0.0357823737607535,0.003820197374901356,0.02226392752544503,0.01894275,0.1
2008-03-01,0.0427252,0.019,0.035790098764346495,0.0038149230352755433,0.02226316967871656,0.01894275,0.1
2008-04-01,0.0444698,0.023,0.035797628622225824,0.0038097438716913133,0.02226242239447046,0.0150325,0.1
2008-05-01,0.0444698,0.023,0.03155491974217211,-0.0023989683116201186,0.010815986433028512,0.0150325,0.1
2008-06-01,0.0444698,0.023,0.031558753091868674,-0.002411668265358555,0.01080799381302796,0.0150325,0.1
2008-07-01,0.0498302,0.026,0.03156251401520559,-0.002424024797706282,0.01080027473998124,0.0138755,0.1
2008-08-01,0.0498302,0.026,0.03495110073476809,-0.009198703027349306,0.0015788644463809827,0.0138755,0.1
2008-09-01,0.0498302,0.026,0.03495724122043639,-0.009224058262405951,0.0015595464756141036,0.0138755,0.1
2008-10-01,0.0370369,0.025,0.034963243749097705,-0.009248379636488216,0.0015415529668260592,-0.00583125,0.1
2008-11-01,0.0370369,0.025,0.03145151383798765,-0.037330477145890203,-0.021476102176525742,-0.00583125,0.1
2008-12-01,0.0370369,0.025,0.031454817043489985,-0.037454432424336645,-0.021448903858638506,-0.00583125,0.1
2009-01-01,0.0243632,0.027,0.03145806192411349,-0.03756161858003943,-0.02142679918382456,-0.01048225,0.09
2009-02-01,0.0243632,0.027,0.003475323917089688,-0.09177859826896782,-0.062751678799086,-0.01048225,0.09
2009-03-01,0.0243632,0.027,0.0034568665108156635,-0.09122274398906893,-0.06155079163155758,-0.01048225,0.09
2009-04-01,0.0141921,0.03,0.003439005705321083,-0.09084415952473544,-0.06077322155489961,0.0071805,0.09
