DATE,MKT-RF,SMB,HML,UMD,BAB,RMW,CMA
30-09-90,-0.0611,-0.0372,0.0059,0.0571,0.0852,0.0003,0.0362
31-10-90,-0.0191,-0.0506,0.0008,0.0674,0.06,0.0317,-0.0025
30-11-90,0.0635,0.0002,-0.0297,-0.0536,-0.0835,0.0058,-0.0471
31-12-90,0.0248,0.006,-0.0157,0.0025,-0.0284,0.0266,-0.0198
31-01-91,0.0469,0.0387,-0.0148,-0.0647,-0.1145,0.0134,-0.0407
28-02-91,0.0721,0.0402,-0.0062,-0.0494,-0.0359,-0.0006,-0.0034
31-03-91,0.0267,0.0381,-0.013,0.0271,-0.0341,-0.0052,-0.0099
30-04-91,-0.0029,0.0035,0.0149,-0.0232,-0.0016,0.0067,0.0081
31-05-91,0.0366,0.0014,-0.0052,-0.0009,-0.0609,0.0207,-0.0236
30-06-91,-0.0494,0.003,0.0108,0.0042,0.0389,0.0175,0.0068
31-07-91,0.0424,-0.01,-0.013,0.0426,-0.0261,0.016,-0.0144
31-08-91,0.0232,0.0142,-0.0079,0.0158,-0.0353,0.0085,-0.0032
30-09-91,-0.0159,0.0158,-0.0123,0.0175,0.0205,-0.0177,-0.0004
31-10-91,0.0129,0.0085,-0.0043,0.0318,0.0137,-0.0165,-0.003
30-11-91,-0.042,-0.0088,-0.0177,0.0118,0.0308,0.011,-0.0012
31-12-91,0.1086,-0.0241,-0.0423,0.0829,-0.0538,0.0367,-0.0314
31-01-92,-0.0059,0.0919,0.0467,-0.025,-0.121,-0.0117,0.0325
29-02-92,0.0109,0.013,0.0651,-0.007,-0.0416,0.0007,0.0225
31-03-92,-0.0266,-0.0089,0.0349,-0.0021,0.039,-0.0006,0.0182
30-04-92,0.0109,-0.0575,0.0436,-0.0255,0.086,0.0165,0.024
31-05-92,0.003,0.002,0.0111,0.0006,0.0195,-0.0091,0.0049
30-06-92,-0.0233,-0.0276,0.0324,-0.0057,0.0399,-0.0006,0.0095
31-07-92,0.0378,-0.0065,-0.0051,0.0147,0.0154,0.0124,-0.0097
31-08-92,-0.0238,-0.0039,-0.0109,-0.0047,0.042,0.0366,-0.0164
30-09-92,0.0119,0.0047,-0.0019,0.0144,-0.0132,0.0161,-0.0068
31-10-92,0.0102,0.0209,-0.0198,0.025,-0.0746,0.0119,-0.0091
30-11-92,0.0414,0.0388,-0.0152,-0.0025,-0.097,-0.0054,-0.0158
31-12-92,0.0153,0.0165,0.0264,0.0433,-0.0204,-0.0052,0.0083
31-01-93,0.0093,0.0194,0.059,0.0485,-0.0304,-0.019,0.0294
28-02-93,0.0012,-0.0337,0.0648,0.0318,0.0799,-0.0047,0.0415
31-03-93,0.0232,0.0009,0.0126,0.037,-0.0161,-0.0022,0.0082
30-04-93,-0.0305,-0.0081,0.0255,0.0036,0.033,-0.0369,0.0138
31-05-93,0.0289,0.0194,-0.0346,0.0021,-0.0494,-0.0014,-0.0103
30-06-93,0.003,0.0012,0.0264,0.0457,0.005,-0.0091,0.0116
31-07-93,-0.0034,0.0096,0.0287,0.0322,0.0093,-0.0184,0.0205
31-08-93,0.0372,0.0008,0.0018,0.0254,-0.0079,-0.0152,0.0004
30-09-93,-0.0012,0.0302,-0.0024,0.0339,-0.0371,0.0025,-0.0019
31-10-93,0.0141,0.0186,-0.0278,-0.0267,0.0033,0.0061,0.0056
30-11-93,-0.0186,-0.0131,-0.0078,-0.0477,-0.0182,0.0219,-0.0103
31-12-93,0.0165,0.0135,0.0025,0.0233,-0.0151,0.0114,-0.0035
31-01-94,0.0287,-0.0005,0.011,0.0011,-0.0355,-0.0154,0.0139
28-02-94,-0.0255,0.0262,-0.0152,-0.0034,-0.0266,0.0208,-0.0094
31-03-94,-0.0479,-0.0103,0.0167,-0.0132,0.0182,0.0065,0.0139
30-04-94,0.0068,-0.01,0.0166,0.0033,0.0159,0.0105,0.0114
31-05-94,0.0058,-0.0249,0.006,-0.0205,-0.015,0.0064,0.006
30-06-94,-0.0304,-0.0052,0.0177,-0.009,0.0262,0.0105,0.015
31-07-94,0.0282,-0.0187,0.0061,0.0011,-0.0078,-0.0066,0.001
31-08-94,0.0402,0.0144,-0.0255,0.0154,-0.0639,0.0098,-0.0152
30-09-94,-0.0228,0.0271,-0.0181,0.0132,0.019,0.0056,0.0106
31-10-94,0.0135,-0.0222,-0.0166,0.0131,0.0037,0.0018,-0.0073
30-11-94,-0.0403,0.0009,-0.0073,-0.0012,0.0137,0.0048,-0.0053
31-12-94,0.0086,-0.0005,-0.0009,0.0345,0.0063,0.004,0.0036
31-01-95,0.018,-0.0307,0.0259,-0.0184,0.0157,0.0015,-0.0065
28-02-95,0.0363,-0.0049,0.0099,-0.0047,-0.0389,0.0061,-0.004
31-03-95,0.0219,-0.0053,-0.0213,0.0045,0.0016,-0.0013,0.0023
30-04-95,0.0211,-0.0026,0.0167,0.018,0.0099,0.0043,0.0082
31-05-95,0.029,-0.0217,0.0228,-0.0055,-0.0139,0.0041,0.0001
30-06-95,0.0272,0.0305,-0.0254,0.0301,-0.0644,-0.0023,-0.0239
31-07-95,0.0371,0.0212,-0.0158,0.026,-0.0416,0.0022,-0.0158
31-08-95,0.0055,0.017,0.0268,0.0005,-0.0165,-0.0117,0.0149
